,평점,일시,감상평
417,9,2017.08.26 23:45,"이영화가 지구와 화성간 시간차가 있음에도 실시간 채팅이 가능한 것처럼 따지는 것은 아닌 것 같다!! 결국 수많은 모순점과 문제가 있어도 결국 사랑하는 사람이 중요하다는 것이고, 멋진 풍경과 소년의 순수한 마음으로 잘 믹스된 괜찮은 작품!! "
418,1,2017.06.28 07:59,보면서 어이없는점이 한두가지가 아니였다 다보고나니 뭘본지 모르겠다
419,7,2017.05.03 17:58,영상미와 음악 ost가 돋보인영화. 영화 설정자체는 좋치만 뻔한연출.. 하지만 이영화보다 눈물을 흘렷다.. 뭔가슬픔 남주인공이 연기가좋았다
420,10,2017.04.09 19:36,ㅠㅠ결말이 너무 뻔할거같아서 기쁜장면에서도펑펑울었다 너무심취한듯 남주에감정에 나는꿀잼 결말도맘에들었다
421,10,2017.04.09 08:35,지루하지 않고 재밌게 잘본 영화
422,10,2017.04.08 13:34,sf 로맨스영화의 대가
423,8,2017.04.05 08:12,미래 화성에서 사는 사람들~  영상미 뛰어나고..
424,10,2017.04.03 17:55,인생영화! 로맨스 감동 sf 나름의 개그 요소도 있고 눈과 귀가 즐겁네요
425,8,2017.03.30 22:36,작위적인설정보다는 광활한 지구의 아름다운 풍광 그리고 음악 멋진 배우들 비쥬얼..그렇게 머리식히기엔 최고의 영화였음
426,9,2017.03.30 12:51,"화성에간 여성리더의 임신과 출산, 의외의 시작과 가드너의 부모와 지구에 대한 의구심과 사랑을 위한 사투가 감동적이었다. 아이와 함께한 시간이 오래도록 기억되어 미래의 아이인생에 조금이라도 도움이 되었음 좋겠다."
427,9,2017.03.27 19:09,순박하다 이 단어를 몇OO동안 잊고산거같다 이영화  순박하다
428,7,2017.03.27 18:47,주인공이 화성에서 지구로 왔을때 잠깐 까진 괜찮았는데 급  어정쩡하게  로맨스로 흘러가는게 산으로가는 느낌이었다. 차라리 그런 요소들은 빼고 주인공이 다른 경험들을 하는 장면으로 넣었음 하는 아쉬움이 있었다.  가볍에 보기엔  좋은 영화였다. 
429,10,2017.03.27 01:37,훈훈 그자체 ㅎㅎ사랑스러움 ㅎㅎ
430,10,2017.03.26 15:21,어린왕자를 읽는 느낌이었다 그의 순수한 마음에 이 살벌한 세상살이에 잠시나마 위로를 받을수 있어서 좋았다
431,10,2017.03.26 13:02,평이 너무박하다 10대로맨스라고는 생각도안했고 몽롱하고 부드러우면서 진솔한 이야기/밤하늘과우주가아름답고 중간의 흑백영화의여운도 위트와 마음에드는개그코드였던 영화 좋음좋음
432,8,2017.03.20 08:48,하이틴영환데 영상미있어요
433,10,2017.03.20 03:07,엔더스~ 엔더스 게임에서 이제 화성여행하고 지구온거니? ㅋ
434,10,2017.03.19 13:52,내용이 사랑과 전쟁3같았으나 볼만했다남주얼굴이 다함
435,9,2017.03.19 12:43,재밌어요 재밌어요재밌어요
436,9,2017.03.19 11:32,영상과 음악이 좋아요^^
437,10,2017.03.19 07:52,정말 재미있게 봤어요 또 볼래요
438,8,2017.03.19 02:07,여친의 폭풍리드에 첫키스 하자마자 바로 관계로 이어지다니... 남주가 부럽다
439,10,2017.03.19 01:43,올해 본 영화 중에 가장 좋았다 여주가 좀 아쉽지만 에이사  미모 열일 ㅠㅠ 다시 영화관에서 시청할 예정인 영화!!
440,7,2017.03.19 00:13,평범합니다. 무난정도.
441,8,2017.03.18 23:47,소재가 되게 좋습니다 재미있었어요.
442,5,2017.03.18 20:29,"유치함ㅜㅜ차 훔치고, 하늘을 날고, 불까지 내고완전 양아치"
443,9,2017.03.18 00:42,"로드무비, 화성에서 지구로 이어지는 긴 여정을 멋진 음악과 풍경과 신선한 이야기로 잘 짜놓았다"
444,10,2017.03.18 00:41,재밌었네요 에스에프영화
445,10,2017.03.17 21:19,광활한 자연 그대로와 순수한 인간의 감정
446,10,2017.03.17 07:11,너무 재밌고 에이사 너무 잘생겼어
447,1,2018.01.31 20:08,진짜  노잼  본 시간이  아까움
448,2,2017.08.24 22:58,어이읍는게 그짓하러왔다가는듯한 느낌 ㅋ
449,5,2017.03.20 16:26,흥미로운 소재에 어정쩡한 틴에이지 감성을 섞으면 똥이 된다는 걸 알려준 아쉬운 작품.
450,2,2017.03.19 18:40,미녀와 야수 볼걸.... 내용이 좀 별로였습니다 그리고 여배우캐스팅이좀...
451,2,2017.03.19 17:24,진짜 원래 영화 평점 안 남기는데 이건 남겨요너무 재미없으니까 조심하세요스토리에 개연성이라고는 없습니다음악과 영상 아름답습니다그게 전부인 영화
452,8,2017.03.19 08:47,"작품성이 막 뛰어난 영화라고 볼 수는 없지만, 그래도 보고 나서 기분이 좋아지는 영화였다."
453,4,2017.03.18 14:16,응 노재미 보면 정말 돈낭비 아 내돈 내 1만원 만든
454,6,2017.03.17 16:55,그닥... 모험/드라마/로맨스/반전까지.. 너무 많은 것들을 담으려 했다. 과유불급.
455,1,2019.01.21 15:21,증오하는 사람에게나 추천하고 싶은 영화
456,2,2018.01.16 19:20,순수한 청춘의 사랑을 그린다면서 시종일관 사기꾼짓하는 여자친구 캐릭터 때문에 어이없고 몰입 방해됨. 괜히 화성에서 왔답시고 불치병 코드 넣고 애절한 사랑처럼 보이도록 했으나 보다보다 욕나오는 영화. 에이사버터필드가 갈수록 실망스러운 작품만 한다. 
457,6,2017.10.03 20:45,여주인공이 90년생인데 남주인공보다 7살이 많네요.실제로도 그렇게 보여요.
458,1,2017.03.30 04:09,하이틴 영화라고 좀 써놨음 좋겠다. 이딴 스토리에 돈을 얼마나 쓴거야
459,1,2017.03.22 13:29,애들한테 꿈을 심어주는 영화를 만들어야지 애들한테 환상을 심어주는 영화를 만들어서는 안된다 제발 현실적으로좀 살어라 이것들아  화성이주? 장난하냐? 대기권 밖에 나가자마자 우주방사선에 노출되서 인간 수명 줄어드는데 이주? 꿈이나 많이 꾸세요 ;; 
460,1,2017.03.21 15:52,아.. .씨 ...괜히봤네 4점짜리영화
461,2,2017.03.18 22:59,제목이 인터스텔라2로 바꿔야 되는거 아님...?ㅋㅋㅋㅋ
462,1,2017.03.19 20:39,야 너무한거 아니냐 내가 30년동안 살면서 영화를 다 안보고 나간적은 처음이다 진짜 내돈 8000원 내놔!
463,8,2017.03.27 23:49,아니 그래서 애아빠가 누군데??? 내가 어디 장면을 놓쳤나???
464,7,2019.01.24 03:11,소재는 좋은데 그걸 다 살리지 못함 개연성은 뭐 그냥 틴에이지 물이니까 봐줄만한데 결말이 영~ 심장이식을 한다거나 툴사가 임신을 해서 최초의 우주혼혈인을 낳는다거나..
465,10,2018.03.16 02:19,스토리 ost 소재 분위기 다 마음에 들었음오랜만에 미국감성과 연애세포가 살아나는 느낌
466,10,2018.03.16 01:58,그런데 진짜 거지같은 평론가는 왜 존재하는거지  저 찌끄레기들이 8점이상 주는걸 못봄 그렇게 OO같이 할거면 지들이 10점 줄 영화를 찍던가.. 개똥논리로 비판하는 비평가들
467,7,2019.01.21 10:25,게리 올드만이 아빠입니다
468,10,2018.03.16 02:11,여주 머리묶지말길 머리풀면 이쁜데 머리만 묶으면 이모가 되버려서 남주랑 케미깨짐
469,6,2018.03.02 23:55,주인공 얼굴빨. 아버지가 안 죽어서 유감스럽다.
470,1,2017.03.16 13:13,7샬  연상의 여주 미스케스팅으르 인해 몰입감이...
471,1,2018.04.28 07:51,멍청한 여자들 보라고 만든 하품 나오고 머저리같은 영화
