,평점,일시,감상평
81,5,2017.10.23 22:14,"우주는 거들뿐. 10대 멜로영화로 이런저런 감동 포인트를 야트막하게 조합하여 만든 느낌. 지구를 원하는 화성인의 절절함, 멋진 풍경과 예쁜 영상은 장점. 영화찍을당시 남주가 19세 여주는 26세다보니 또래로 보기 어려운 느낌이 살짝 있다. "
82,1,2017.03.30 00:06,그냥 하이틴 로맨스.... SF아녜요 시간버림
83,1,2017.03.27 15:19,"공들인 쓰레기..,."
84,1,2017.03.26 10:45,중국이 끼어들면 다 이렇게 됨
85,1,2017.03.25 06:11,절대 보지마라 .... 진짜 재미없다 sf아니다
86,1,2017.03.25 05:05,영화 대충 만드네.. 내가 이걸 왜 보고있지 이런 생각만 함
87,1,2017.03.25 02:10,재미없는 영화 입니다...
88,8,2017.03.17 01:15,예상했던 분위기와는 다르게  신선하구 독특해용   재밌게잘봄~~
89,9,2017.03.16 21:54,신선하고 달달했다. 적절한 bgm과 아름다운 영상이 좋았다
90,8,2017.03.20 12:50,"전반적으로 괜찮지만, 화성에서 지구까지 빛으로도 13 내지 14분이 걸린다. 그런데 어떻게 실시간 통신들을 하는 것으로 묘사하는지..."
91,10,2017.03.17 23:58,이렇게이쁘다는말에 심쿵을 ㅋㅋ또보고싶다
92,10,2017.03.16 17:24,에이사 버터필드 넘 매력적이네요 역시 잘컸어~~~~ ㅋㅋㅋㅋ 데이트 무비로 딱!
93,9,2020.05.08 04:23,에이사 버터필드 넘 매력적이네요 역시 잘컸어~~~~ ㅋㅋㅋㅋ 데이트 무비로 딱!
94,2,2020.05.01 01:37,갑자기 아빠가 바뀌는 막장드라마 수준이네ㅋㅋㅋ
95,5,2020.03.19 02:53,여주가 열살이나 어린역을하니 이지경이 되지..보는 내내.클로이 모레츠가 했으면...했다. 어차피 로맨스로 갈거
96,1,2020.03.17 07:34,로맨스 막장 스토리 영화에 화성에서 태어난 화성인이라는 신선한 sf재료로 지평선을 넓히려한 영화. 그 독특한 소재마저 침뱉고 오줌갈겨 버무린 듯 비과학적인 연출로만 억지로 채운 찝찝한 영화
97,2,2020.02.23 00:19,영상미는 좋다. 나머지는 최악.전개 느리고 대사 하나하나가 유치하다.전혀 극적이지 않은데 극적인 흉내.
98,10,2020.02.03 11:48,사랑은 사랑이다. 정말. 그 끝을 알아도. 그 끝을 몰라도. 이 순간을 위해 모든것을 사는. 나이가 어리든. 화성과 지구만큼 떨어져 있어도
99,10,2019.11.29 00:12,넘나 몰입되는..아름다운 지구와 소년소녀. 그 사이의 우주...
100,6,2019.11.22 22:51,좋은 소재인데 이야기가 10대 로맨스로 흘러가다보니 산으로 가버렸다 SF쪽에 촛점을 뒀으면 좋았을 텐데..
101,10,2019.11.11 00:30,남주잘생겻고 스토리도 갠찮고 신선하다3번까지 돌려보고싶다
102,7,2019.09.20 16:15,소재가 참 좋은데 그 소재를 잘 활용하지 못하는 느낌.. 우주라는 공간을 더 잘 활용했으면 좋았을 것 같다. 그래도 순수하고 예쁜 성장 스토리 한 편을 본 것 같아 기분이 좋았다
103,10,2019.08.07 10:12,저기..나만 좋았나? ㅋㅋ 근데 에이사 아니였으면 안 봤을 거 같긴하다. 순수한 사랑을 보여줬다는거에 좋은평을 주고싶음.
104,6,2019.07.05 20:41,신선한 소재는 좋다. 하지만 이 감독은 항상 자기만의 낭만에 취해 신나게 혼자 산으로 간다. 요리를 할줄 모르면 매뉴얼이라도 읽어봤으면 하는 마음이었는데.. 전복을 가지고 라면에 넣어먹는 느낌이랄까.
105,1,2019.06.23 22:31,"난잡하기 끝이없는 영화. 우주, 사랑, 출생의 비밀, 모험 등 끔찍하기 그지없다"
106,9,2019.01.20 11:15,사람들이 감성이 없네..
107,7,2018.11.12 00:11,SF 가미한 하이틴 로맨스물
108,1,2018.10.28 06:00,응 개똥 판타지급 십대영화
109,2,2018.10.22 18:47,볼 거라곤 남주인공의 미모밖에 없음
110,10,2018.08.15 13:30,색다른 로맨스네요...^^10점 드립니다
111,10,2018.06.29 15:20,"재미와 감동~! SF로맨스는 첨 인것 같은데, 정말 재밌고 감동 깊게 보았습니다."
112,10,2018.06.01 15:49,평점이 안 좋아서 영화관에서 안 봤는데 지금 보니 엄청 후회된다. 영상미도 예쁘고 이상하게 눈물이 펑펑난다. 아사 버터필드 멋있고 여주도 좋다.언젠가 다시 이 영화를 보고 싶다...
113,10,2018.05.30 22:36,잔잔하고  예쁜 영화 에이사 버터필드 얼굴 보려고 봤다ㅠㅠ
114,9,2018.05.11 17:40,남자주인공이 살린영화
115,10,2018.03.28 19:21,가드너 ㅈㄴ 사랑스럽다ㅠㅠ
116,4,2018.03.20 16:02,엔더스게임 꼬맹이가 언제 이리 컷지..? 완전 훈훈*-_-* 영상미도 너무 이쁘고 좋았습니다. 하지만 영화 자체는 그닥이네요ㅎ 걍 화면이랑 남주보는 재미로 봤어요
117,6,2018.03.20 15:51,SF 설정에 신선한 소재. 내용은 소소한 감동과 풋풋한 감성 로맨스. 좀 더 SF 적인걸 기대했다면 실망스러울수도. 아버지가 누구인지는 좀 예상되는. SF영화라기보단 청춘 성장 로맨스 드라마. 그래도 불편하진 않은 전개와 결말 마무리였다. 
118,8,2018.03.20 15:47,별기대안했는데 좋았습니다.! 청소년들이 많이 보면 좋겠어요 뻔한듯 안뻔하고 신선했습니다 주인공들이 신선해선가?
119,8,2018.03.20 15:45,아빠 찾아 삼만리 ....
120,7,2017.12.30 10:50,영화니까 가능한 얘기들뿐
121,10,2017.12.30 05:59,굿~ 좋아서 두 번 연속으로 본 영화
122,7,2017.12.23 22:22,신선한 소재의 감동적인 SF 로맨스. 다만 좀 늘어지는 느낌이 있다.
123,8,2017.10.22 23:38,영상미가 진짜 예쁘다1
124,1,2017.08.23 01:32,어째서... 네이버 평점은 0.5 점이나 0점을 줄 수 없는 것인가..
125,10,2017.08.22 16:27,가볍게 즐길 수 있는 훈훈한 영화
126,10,2017.08.07 15:38,재밌어요 휴가다녀온기분
127,10,2017.08.06 20:58,핵잼 꿀잼  추천 !! !!
128,10,2017.08.04 18:24,나는 재밌었다. 끝ㅋㅋ
129,10,2017.07.19 05:00,영상미도예쁘고 영화자체도너무예쁨
130,8,2017.06.25 20:51,에이사가 운전하면서 직설적이게 고백할때 심장이 철렁세상에 너무 스윗하잖아 ㅠㅜ
131,1,2017.05.14 20:18,전개방식이 너무 터무니 없음
132,7,2017.05.11 14:09,생각보다...재미가 없었다
133,2,2017.05.10 09:58,요즘 10에 5은 중국자본 영화인데 중국자본 영화엔 엉성함이 많이 담겨있음...이 영화도 충분히 재미난 소재임에도 불구하고 작은 씬들을 그냥 대충 흘려보내보려서 살리지못함... .
134,7,2017.04.10 20:57,아버지가 반전이지만 결말 훈훈하고 소재도 독특하고 좋다
135,7,2017.03.31 11:44,임산부가 걸리지않고 화성간다는 설정빼면.. 완전 새로운 관점에서 보는 화성관련영화
136,6,2017.03.31 00:19,우주는 인간의 등장을 미리 알고 있었던 것 같다.
137,6,2017.03.30 19:27,SF 적인 요소보다  10대 로맨스물에 가깝다.
138,7,2017.03.30 01:40,10대에 봤다면 정말 재밌을 영화였는데 나이가 들어서 그런가 하하.
139,6,2017.03.26 05:29,크그릇에 소소한내용이 담긴 드라마랑 같다.(아빠찾아 3만리정도?.뻔한내용이지만 훈훈한 드라마 다소 큰릇에 소소한 내용이라는점이 아쉬움이 크다.굳이 거창하게 화성까지갈필요도없는내용
140,5,2017.03.26 00:16,우주의 간극도 초월해버리는
141,4,2017.03.25 09:42,솔직히 말해서 작품성이 떨어짐. 평소에 로튼토마토 좀슈같은건 안보고 보는데 이건 그 이유를 알겠음.
142,6,2017.03.22 12:18,남주 잘생긴거 외엔 볼거없음
143,10,2017.03.21 23:05,에이사가 굉장히 잘생겼다.... 대미친 우주존잘
144,5,2017.03.21 17:02,기대에는 못 미치지만 나름 재밌게 봤습니다
145,10,2017.03.20 21:40,지루하지 않게 잘봤네요  추천합니다
146,10,2017.03.20 21:37,영화의 전반적인 분위기가 기존 우주 소재 영화와는 달라서 좋았고 하이틴이라고 하나? 밝은 10대 들의 분위기를 잘표현한 것같아요 . 주변 배경에서의 색감도 너무이쁘고요
147,10,2017.03.20 09:05,감성적이고 색감이 진짜 예뻤어요.  잘 봤습니다.
148,10,2017.03.20 00:08,게리 올드만형님 오랜만이에요
149,9,2017.03.19 23:43,잔잔한 여운이 남는 그런 영화였습니다
150,10,2017.03.19 22:12,완전 진짜 대박 완전 순수한느낌의 주인공이 진짜 너무 좋아용~~ 요즘에는 조금 흔하다고 생각할수는있지만 완전 순정 사랑을 보고싶다면 이거 보는것도 괜찮은것 같아요
151,10,2017.03.19 22:10,생각보다 괜찮은 영화네요~
152,10,2017.03.19 21:54,이건 썸타는 사람이랑 꼭 같이 가서 보세요~ 강추!
153,10,2017.03.19 20:25,진짜  재밋게봣습니다  보시는거추천드려요~
154,9,2017.03.18 19:34,지루하지않았음 비현실적인부분있음
